pair,period,dip_count,mean_return_after_dip,mean_return_after_fees_only,mean_return_realistic,mean_return_after_fees,mean_return_after_spread,mean_return_after_all_costs,mean_spread_at_entry,mean_spread_at_exit,baseline_mean_return,p_value
BTC-USDT,train,1997,0.00796466080020106,0.00596466080020106,0.007645509911742762,0.005645509911742761,-0.00455493641093597,-0.01080336051953477,0.012496848217197607,0.007904044428159857,5.5800912016628445e-05,0.0
BTC-USDT,test,412,0.00961727987875159,0.00761727987875159,0.010073561174219517,0.008073561174219515,-0.003909671866706471,-0.012097814643617626,0.01637628555382231,0.007590180528029667,1.830821730956746e-06,0.0
ETH-USDT,train,2814,0.008615986870379663,0.006615986870379663,0.007834775957169327,0.005834775957169326,-0.00482579652000807,-0.011358192832469484,0.013064792624922831,0.008256352329431962,4.8528814337548966e-05,0.0
ETH-USDT,test,929,0.011858653506961027,0.009858653506961027,0.012275984189156366,0.010275984189156364,-0.0016788453842130392,-0.009371853081255616,0.015386015394085156,0.008523643752653652,4.6041416227199607e-05,0.0
BNB-USDT,train,5271,0.008340723707382076,0.006340723707382076,0.006806338488995791,0.0048063384889957894,-0.004915739367780897,-0.010574650590407781,0.011317822445253771,0.008126333268299599,0.00010643428278651193,0.0
BNB-USDT,test,1331,0.010558645470906076,0.008558645470906076,0.010573865596343235,0.008573865596343232,-0.004126728452440108,-0.011909124888675002,0.015564792872469787,0.009836395225096899,9.517165145934543e-05,0.0
ADA-USDT,train,1552,0.006138832124590723,0.0041388321245907226,0.005992154584627716,0.003992154584627715,-0.005135806215318759,-0.011158802107427528,0.012045991784217539,0.006209929815675411,2.6120047003474345e-05,0.0
ADA-USDT,test,1739,0.014141991261932085,0.012141991261932085,0.0147352461119517,0.0127352461119517,0.0005627301608236517,-0.006798710563116275,0.014722881447879853,0.009622150454376243,6.559758605978038e-05,0.0
XRP-USDT,train,2013,0.005042832561589449,0.003042832561589449,0.005155072495226539,0.0031550724952265374,-0.009061571963397871,-0.016922016231831927,0.015720888536868108,0.00871240038038071,1.078183038007731e-07,0.0
XRP-USDT,test,2280,0.008378932078190297,0.006378932078190297,0.00861917237348629,0.006619172373486288,-0.006727527413965237,-0.01521908171246675,0.016983108597003027,0.009710290977900025,6.759174141770773e-05,0.0
SOL-USDT,train,1421,0.0054070994730135505,0.0034070994730135504,0.005326687094400956,0.003326687094400954,-0.003925051444881607,-0.008444394565398833,0.00903868624103445,0.005464790837530676,-2.1026995634171675e-06,0.0
SOL-USDT,test,3160,0.01010072940572698,0.00810072940572698,0.010110993103465069,0.008110993103465067,-0.003682489429245998,-0.010448370754663271,0.013531762650834545,0.010055202414587582,0.00013847766249044528,0.0
DOT-USDT,train,570,0.011707324235916977,0.009707324235916977,0.011394860351011263,0.009394860351011263,-0.000521594059999409,-0.006576064605728424,0.01210894109145803,0.007723967730563312,0.00023156177841132555,0.0
DOT-USDT,test,1832,0.009795914244938331,0.007795914244938331,0.010212238698482923,0.008212238698482921,-0.004098535395135177,-0.011686344581515911,0.015175618372761468,0.009445929814474728,4.012628594947023e-05,0.0
DOGE-USDT,train,1112,0.005334250369789122,0.0033342503697891216,0.003766353677955863,0.0017663536779558612,-0.008394238846283285,-0.015005337028804905,0.013222196365043239,0.007098988683435055,3.372463740830702e-05,0.0
DOGE-USDT,test,5931,0.0090518164838663,0.0070518164838663,0.009351899892881684,0.007351899892881683,-0.009858824005195178,-0.019741943474551896,0.01976623893871344,0.014655208857440281,0.00019379757615111299,0.0
AVAX-USDT,train,536,0.0005194449273945141,-0.001480555072605486,0.0003533896654633714,-0.0016466103345366303,-0.014660404415258262,-0.022230374699037648,0.015139940567558763,0.0108876475938845,-3.34237344087649e-05,0.308
AVAX-USDT,test,3060,0.0069327187814260125,0.0049327187814260124,0.00712858468940344,0.005128584689403438,-0.0060218798042869556,-0.012593397102468845,0.013143034596363777,0.00915789439101701,0.00012075486997350867,0.0
MATIC-USDT,train,4073,0.003403472345836484,0.0014034723458364838,0.0030292709454320765,0.0010292709454320752,-0.010397079016116886,-0.017502899890303965,0.01421164174837416,0.008641058174723765,0.00012206661349082193,0.0
MATIC-USDT,test,4764,0.009978130631568528,0.007978130631568528,0.010152836220963813,0.008152836220963813,-0.0036903051825305554,-0.010455447380102935,0.013530284395144762,0.010155998411843977,0.0002085198504130153,0.0
LINK-USDT,train,2783,0.006936350921647128,0.004936350921647128,0.0067705127667099406,0.00477051276670994,-0.006489163598859301,-0.013540525738877115,0.014102724280035632,0.008416628451102848,0.00014766229022583984,0.0
LINK-USDT,test,1545,0.008952127318189115,0.006952127318189115,0.009216459700679145,0.007216459700679144,-0.004373786051156934,-0.011429257245767894,0.014110942389221918,0.009069549114450239,3.2564995767318674e-05,0.0
UNI-USDT,train,1079,0.00660467192326564,0.00460467192326564,0.006602001199409657,0.004602001199409655,-0.010362381473814264,-0.018947398073099864,0.017170033198571202,0.012758732147876638,0.0002247228872063502,0.0
UNI-USDT,test,1676,0.008169791165270345,0.006169791165270345,0.00855501954116713,0.006555019541167129,-0.00563037082990733,-0.012943691301514055,0.014626640943213452,0.009744139798935469,5.9422193167785635e-05,0.0
ATOM-USDT,train,1520,0.0057960703824634805,0.0037960703824634805,0.005480856460518583,0.0034808564605185825,-0.005823745261179291,-0.011875280274634139,0.012103070026909694,0.006506133416486052,6.127816180685178e-05,0.0
ATOM-USDT,test,2174,0.009981096430474432,0.007981096430474432,0.010385736017088991,0.00838573601708899,-0.003220763665723044,-0.009952033442898646,0.013462539554351203,0.009750459811272864,8.243081254096575e-05,0.0
LTC-USDT,train,2818,0.008811362476279014,0.006811362476279014,0.007949634322204314,0.0059496343222043115,-0.005054264064823843,-0.011904932219963376,0.01370133631027906,0.00830646046377725,2.2031569891053164e-05,0.0
LTC-USDT,test,1209,0.008353216626765109,0.006353216626765109,0.00878445408609625,0.0067844540860962504,-0.005440607888002889,-0.013177918622083227,0.01547462146816068,0.008975502480037605,1.7167488625415598e-05,0.0
FTM-USDT,train,5148,0.0032905187302003677,0.0012905187302003677,0.0023449838393703225,0.000344983839370321,-0.006292161245982196,-0.010615110156590377,0.008645897821216364,0.004628392349488673,5.961358451176935e-05,0.0
FTM-USDT,test,5524,0.005669915093473393,0.0036699150934733932,0.005631230046423871,0.0036312300464238687,-0.00907767916725437,-0.016473065135690253,0.01479077193687177,0.010627046490484708,0.00018299498994977945,0.0
NEAR-USDT,train,415,-0.001168453002222923,-0.003168453002222923,-0.0018994421582911739,-0.0038994421582911757,-0.012885504117402318,-0.018442351899131505,0.011113695563458377,0.006858428354763912,9.243122166572592e-05,0.064
NEAR-USDT,test,2844,0.007144701403090415,0.005144701403090415,0.007289717744043216,0.005289717744043215,-0.004825238954285327,-0.010778203094547129,0.011905928280523606,0.008323985116133479,8.671184691607994e-05,0.0
ALGO-USDT,train,2705,0.004779666918029835,0.0027796669180298354,0.004470988088958165,0.0024709880889581632,-0.006004426940451374,-0.011344870575519278,0.010680887270135811,0.0062699427886832625,-1.3192522515668422e-05,0.0
ALGO-USDT,test,2123,0.0074637581818122155,0.0054637581818122154,0.007507932585974915,0.005507932585974913,-0.005274910449058277,-0.011780925204937323,0.013012029511758094,0.00855365655830829,5.5188343052838124e-05,0.0
